transaction_id,datum,store,province,kategorie,bedrag,quantity,customer_id,payment_method
TXN-000111,06-02-2024,Mall of North,Limpopo Province,Cosmetics,R931.92,3,CUST-00199,Cash
TXN-000112,2024-09-08,,Gauteng Province,Elec.,"R 11,542.40",1,CUST-01195,EFT
TXN-000113,2024-10-09,VA Waterfront,Western Cape,BEAUTY,210.27,2,CUST-00651,Mobile Money
TXN-000114,04-11-2024,,western cape,Electronics,R7580.74,1,CUST-00022,Mobile Money
TXN-000115,23/04/2024,Gateway Umhlanga,KZN,SPORTS,R355.89,1,CUST-00570,Card
TXN-000116,26/07/2024,Online,kwazulu natal,Beauty & Health,R 394.21,1,CUST-00031,Mobile Money
TXN-000117,2024-03-04,V&A,western cape,Cosmetics,R1555.68,4,CUST-01499,Cash
TXN-000118,27 Oct 2024,Gateway Mall Umhlanga,Kwazulu-Natal,Sports & Outdoors,R719,1,CUST-00264,Card
TXN-000119,2024-10-02,online,eastern cape,beauty,"R 1,335.20",1,CUST-01547,EFT
TXN-000120,10-05-2024,Canal walk,WC,Sports & Outdoors,R3474,1,CUST-01619,Cash
TXN-000121,30/06/2024,baywest mall,,Home,"R 2,107.98",2,CUST-01119,Cash
TXN-000122,22/03/2024,Canal walk,western cape,Food,(R1018.54),1,CUST-00014,EFT
TXN-000123,2024-02-07,Canal Walk,W. Cape,Sports & Outdoors,R1031.55,1,CUST-00094,Mobile Money
TXN-000124,05-17-2024,,Limpopo Province,Apparel,"R 1,490.93",2,CUST-01491,EFT
TXN-000125,15 Feb 2024,Gateway,KwaZulu Natal,clothing,1339.72,1,,Cash
TXN-000126,07-29-2024,Sandton City,GP,Clothing,"R 3,261.58",1,CUST-00085,Card
TXN-000127,29 Aug 2024,,Western Cape,beauty,"R 1,378.56",1,CUST-01397,Mobile Money
TXN-000128,28 Dec 2024,canal walk,WC,clothing,R1139.96,1,CUST-00904,Cash
TXN-000129,2024-09-29,Baywest Mall,E. Cape,CLOTHING,1876.91,1,CUST-00021,Cash
TXN-000130,18/11/2024,V&A Waterfront,Western Cape,home & living,R-12049.52,1,CUST-01123,Mobile Money
TXN-000131,11-20-2024,Online Store,,Home,R 360.82,2,CUST-00004,Mobile Money
TXN-000132,16 Jan 2024,Menlyn Park Mall,Gauteng Province,CLOTHING,R159,1,CUST-00505,Card
TXN-000133,24 Dec 2024,Online,KwaZulu-Natal,Clothes,R 800.83,1,CUST-00045,EFT
TXN-000134,28/11/2024,,Limpopo Province,food & beverage,R765.41,2,CUST-01445,Card
TXN-000135,2024-02-07,sandton city,Gauteng,ELECTRONICS,R 3 740.05,2,CUST-01220,Card
TXN-000136,2024-11-01,,limpopo,food & beverage,R649.38,1,CUST-01558,Mobile Money
TXN-000137,06-05-2024,Bay West Mall,Eastern Cape,Clothing,R336.92,1,CUST-00164,Mobile Money
TXN-000138,31/03/2024,,KZN,Beauty & Health,R634,1,CUST-00083,Card
TXN-000139,06/01/2024,Menlyn Park Mall,GP,ELECTRONICS,R 9 243.66,2,CUST-01485,Card
TXN-000140,08-22-2024,ONLINE,eastern cape,beauty,R1790.78,2,CUST-00119,EFT
TXN-000141,26/05/2024,canal walk,,home & living,R 5 666.96,3,CUST-00989,Mobile Money
TXN-000142,2024-08-01,Sandton City Mall,GAUTENG,ELECTRONICS,"R 11,655.22",2,CUST-00471,Cash
TXN-000143,13/11/2024,Menlyn Park,GP,Electronics,14077.44,1,CUST-00148,EFT
TXN-000144,09 Aug 2024,Menlyn Park Mall,GAUTENG,ELECTRONICS,R 12 319.17,2,CUST-01394,Mobile Money
TXN-000145,03 Aug 2024,ONLINE,western cape,food & beverage,R666.13,2,CUST-00064,Card
TXN-000146,02/10/2024,Gateway,KZN,Cosmetics,R987,1,CUST-01035,EFT
TXN-000147,05 Oct 2024,Baywest Mall,E. Cape,SPORTS,R3646,5,CUST-00086,EFT
TXN-000148,2024-10-07,canal walk,Western Cape,Food and Beverage,R392.07,1,CUST-01288,Card
TXN-000149,10/06/2024,Gateway,KZN,clothing,R1578,1,CUST-00029,Cash
TXN-000150,07-17-2024,MOTN,Limpopo,electronics,"R 12,017.25",3,CUST-00622,EFT
TXN-000151,20/01/2024,gateway umhlanga,KwaZulu-Natal,Electronics,R 5 964.97,3,CUST-01772,EFT
TXN-000152,27 Jan 2024,V&A Waterfront,W. Cape,Clothes,2538.01,1,CUST-01676,EFT
TXN-000153,14 Jan 2024,baywest mall,EC,Sports,R2151,1,CUST-00397,Card
TXN-000154,30 Jun 2024,Online,western cape,Home,(R301.57),2,CUST-01552,Card
TXN-000155,21 Aug 2024,sandton city,gauteng,SPORTS,R-711.10,4,CUST-00761,Cash
TXN-000156,07 Jul 2024,V and A Waterfront,Western Cape,Tech,"R 13,595.63",1,CUST-00019,Card
TXN-000157,11-09-2024,East Gate,GP,Food,R443.04,5,CUST-00099,Mobile Money
TXN-000158,04 May 2024,VA Waterfront,,Sports & Outdoors,"R 2,743.54",2,CUST-00508,Mobile Money
TXN-000159,2024-11-04,Canal walk,Western Cape,Clothes,R724,1,CUST-00406,EFT
TXN-000160,28/02/2024,gateway umhlanga,KwaZulu Natal,Tech,R 10 724.16,1,CUST-00037,Mobile Money
TXN-000161,11-03-2024,Eastgate Mall,gauteng,Home,R 9 023.54,1,CUST-01648,Mobile Money
TXN-000162,01 Jul 2024,Gateway Mall Umhlanga,Kwazulu-Natal,sports,R2190.37,3,CUST-01831,Cash
TXN-000163,2024-12-13,Mall of North,Limpopo Province,Clothing,R3928,2,CUST-00711,EFT
TXN-000164,05-06-2024,,western cape,Apparel,R2827,2,CUST-00050,Card
TXN-000165,07-17-2024,Sandton city,GAUTENG,clothing,"R 2,992.18",1,CUST-01299,Card
TXN-000166,03-16-2024,Bay West Mall,EC,Sport,2908.17,3,CUST-01693,Mobile Money
TXN-000167,2024-04-22,Eastgate,gauteng,BEAUTY,194.68,1,CUST-01451,EFT
TXN-000168,2024-12-28,VA Waterfront,Western Cape,Beauty & Health,R2748.40,1,CUST-01273,Mobile Money
TXN-000169,18 Feb 2024,online,Gauteng,H&L,-R2272.68,1,CUST-00069,Mobile Money
TXN-000170,27 Sep 2024,Mall of the North,LP,Home and Living,R2560.48,1,CUST-01878,Card
TXN-000171,05-12-2024,Gateway Mall Umhlanga,KwaZulu Natal,F&B,R 643.38,2,CUST-00610,Card
TXN-000172,04-18-2024,Gateway Umhlanga,KwaZulu Natal,beauty,R1420.60,1,CUST-00129,Mobile Money
TXN-000173,2024-03-04,V&A,western cape,Cosmetics,R1555.68,4,CUST-01499,Cash
TXN-000174,23/04/2024,Canal walk,Western Cape,sports,R 2 348.05,4,CUST-00485,Cash
TXN-000175,23/12/2024,Gateway Umhlanga,kwazulu natal,Cosmetics,R2432.47,1,CUST-00935,Mobile Money
TXN-000176,2024-12-30,Menlyn Park Mall,,Apparel,R868.95,2,CUST-01590,Mobile Money
TXN-000177,2024-04-15,Menlyn Park Mall,gauteng,clothing,R546.68,1,CUST-00180,EFT
TXN-000178,2024-05-04,Sandton city,Gauteng Province,H&L,"R 1,142.11",1,CUST-00352,Mobile Money
TXN-000179,2024-12-20,Menlyn Park Mall,,clothing,R2761.57,2,CUST-00236,Cash
TXN-000180,2024-12-30,,Gauteng,Beauty & Health,2029.05,1,CUST-01170,EFT
TXN-000181,03/07/2024,Menlyn Park Mall,Gauteng Province,Home & Living,496.38,1,CUST-00011,Card
TXN-000182,19/11/2024,,Limpopo Province,sports,R458.52,1,CUST-01960,EFT
TXN-000183,04-20-2024,Sandton city,GAUTENG,Electronics,R1201.14,2,CUST-00112,EFT
TXN-000184,09 Nov 2024,,eastern cape,Electronics,4618.37,1,CUST-00126,Card
TXN-000185,02 Dec 2024,Eastgate,GAUTENG,Clothes,R340.80,2,CUST-00182,Mobile Money
TXN-000186,11-21-2024,Eastgate,GP,electronics,-R4370.28,1,CUST-01102,EFT
TXN-000187,24/06/2024,Gateway Mall Umhlanga,KZN,Cosmetics,R955.29,3,CUST-00082,Mobile Money
TXN-000188,11-21-2024,online,KwaZulu-Natal,home & living,R3516,1,CUST-00339,Card
TXN-000189,06/03/2024,Baywest,E. Cape,Home and Living,R1320.70,1,CUST-01304,EFT
TXN-000190,09/03/2024,East Gate,GP,Food and Beverage,R393.91,3,CUST-00170,Cash
TXN-000191,25 Dec 2024,Web,kwazulu natal,food & beverage,R973.15,1,CUST-00056,Mobile Money
TXN-000192,01 Aug 2024,Menlyn Park Mall,gauteng,Apparel,980.73,3,CUST-00012,Cash
TXN-000193,16/03/2024,Eastgate Mall,gauteng,Beauty,R833.26,3,CUST-01036,Mobile Money
TXN-000194,2024-01-14,Menlyn Park,Gauteng Province,Clothes,2148.77,3,CUST-01363,Cash
TXN-000195,27 Jan 2024,,KwaZulu-Natal,Clothes,R2867,3,CUST-00066,Card
TXN-000196,12-13-2024,Canal Walk,Western cape,clothing,R 3 709.04,2,CUST-00086,Cash
TXN-000197,2024-05-04,Baywest,eastern cape,Elec.,R 10 271.23,4,CUST-01107,Mobile Money
TXN-000198,02/11/2024,East Gate,gauteng,CLOTHING,R998.60,2,CUST-00855,Mobile Money
TXN-000199,2024-02-03,Gateway,KwaZulu Natal,Beauty & Health,R1099.41,5,CUST-01973,Card
TXN-000200,28 Nov 2024,V&A Waterfront,Western Cape,Home & Living,R2152.18,2,CUST-00251,Mobile Money
TXN-000201,12-27-2024,East Gate,GAUTENG,home & living,8416.98,1,CUST-00182,EFT
TXN-000202,05/01/2024,Eastgate Mall,gauteng,Sports,R2526.67,1,CUST-00036,Card
TXN-000203,10/10/2024,Gateway Umhlanga,KZN,sports,R4708.40,2,CUST-01475,Mobile Money
TXN-000204,2024-02-28,Sandton City Mall,GAUTENG,BEAUTY,609.68,3,CUST-01410,Cash
TXN-000205,17 Nov 2024,Eastgate,Gauteng Province,Elec.,15066.68,2,CUST-00086,Card
TXN-000206,11 Dec 2024,sandton city,gauteng,Food,342.29,1,CUST-00742,EFT
TXN-000207,22/07/2024,Sandton City Mall,GP,Food & Beverage,R439.37,1,CUST-00066,EFT
TXN-000208,18 Jan 2024,Sandton City,Gauteng Province,F&B,R167.87,2,CUST-00124,Cash
TXN-000209,05-28-2024,V&A waterfront,WC,clothing,1463.91,1,CUST-00447,Card
TXN-000210,05/06/2024,Menlyn Park Mall,gauteng,Home & Living,"R 6,732.78",1,CUST-01465,Card
TXN-000211,01-26-2024,gateway umhlanga,Kwazulu-Natal,beauty,R 1 441.29,4,CUST-00396,Card
TXN-000212,02/06/2024,,Eastern Cape,Clothing,R 579.57,1,CUST-00172,EFT
TXN-000213,29/04/2024,menlyn park,GAUTENG,BEAUTY,R767.06,1,CUST-01625,Mobile Money
TXN-000214,26/01/2024,Baywest Mall,eastern cape,Electronics,3602.09,2,CUST-00496,Cash
TXN-000215,24 Dec 2024,,kwazulu natal,home & living,R 1 405.37,5,CUST-00089,Card
TXN-000216,13/12/2024,Mall of North,Limpopo,Apparel,R 1 315.03,1,CUST-01384,Mobile Money
TXN-000217,06/04/2024,eastgate,Gauteng Province,Food & Beverage,R 227.86,2,CUST-00036,Mobile Money
TXN-000218,05 Sep 2024,Mall of North,limpopo,Clothing,2805.72,2,CUST-00168,Card
TXN-000219,01-12-2024,SANDTON CITY,Gauteng,Electronics,"R 7,375.92",1,CUST-00492,Cash
TXN-000220,2024-11-20,Baywest Mall,EC,food & beverage,R390.19,4,CUST-01273,EFT
TXN-000221,2024-04-12,Baywest,Eastern Cape,Food,R-1281.24,1,CUST-01720,Card
TXN-000222,06/09/2024,sandton city,gauteng,CLOTHING,(R5036.41),3,CUST-00392,Cash
TXN-000223,24 Aug 2024,Gateway,KwaZulu Natal,Home and Living,2794.98,1,CUST-00075,Mobile Money
TXN-000224,16/12/2024,Canal Walk,W. Cape,Food,R598.12,1,CUST-00071,EFT
TXN-000225,07 Dec 2024,sandton city,gauteng,Food,R571.89,1,CUST-00135,Card
TXN-000226,17 Dec 2024,baywest mall,Eastern Cape,Elec.,R 11 730.66,1,CUST-00605,Mobile Money
TXN-000227,05/12/2024,V&A,WC,Elec.,R3357.55,5,CUST-00199,EFT
TXN-000228,05-19-2024,,Eastern Cape,Food,R45.37,4,CUST-00158,Mobile Money
TXN-000229,03 Nov 2024,VA Waterfront,W. Cape,Clothing,2941.55,1,CUST-01451,Cash
TXN-000230,10/06/2024,canal walk,WC,Elec.,R12386.87,2,CUST-01767,Mobile Money
TXN-000231,30 Dec 2024,,Eastern Cape,H&L,R 4 658.61,1,CUST-00149,EFT
TXN-000232,16 Apr 2024,Gateway Umhlanga,KwaZulu Natal,ELECTRONICS,R10919.51,1,CUST-00797,EFT
TXN-000233,2024-04-10,menlyn park,GP,H&L,6352.34,2,CUST-00038,Cash
TXN-000234,03-02-2024,Canal Walk,western cape,Food,R472.08,2,CUST-00363,EFT
TXN-000235,05 Dec 2024,mall of the north,Limpopo Province,Home & Living,381.91,1,CUST-01370,EFT
TXN-000236,05-13-2024,sandton city,Gauteng Province,electronics,R-2663.48,1,CUST-01065,Mobile Money
TXN-000237,27/09/2024,V&A waterfront,western cape,home & living,-R3792.30,3,CUST-00092,Card
TXN-000238,22/05/2024,Canal Walk,W. Cape,Clothing,1860.78,2,CUST-01762,EFT
TXN-000239,18 Oct 2024,baywest mall,eastern cape,Home & Living,R 2 863.23,4,CUST-01077,Mobile Money
TXN-000240,2024-04-16,,KZN,Apparel,R951.51,1,CUST-00094,Card
TXN-000241,2024-10-19,Canal Walk,western cape,Sport,2826.48,4,CUST-00051,Mobile Money
TXN-000242,21/06/2024,Gateway,,Elec.,10366.88,2,CUST-00550,Mobile Money
TXN-000243,17 Aug 2024,Menlyn Park Mall,GP,sports,525.57,2,CUST-00118,Cash
TXN-000244,18 Sep 2024,eastgate,gauteng,SPORTS,R4546.20,1,CUST-00476,Card
TXN-000245,2024-12-28,Canal Walk,W. Cape,beauty,R1983.91,1,CUST-00151,EFT
TXN-000246,10-12-2024,Sandton City Mall,Gauteng Province,BEAUTY,R970,5,CUST-00890,Cash
TXN-000247,2024-10-17,VA Waterfront,W. Cape,Food & Beverage,R245.61,2,CUST-01395,Card
TXN-000248,11-19-2024,baywest mall,Eastern Cape,Home and Living,7680.64,1,CUST-00805,Mobile Money
TXN-000249,18 Jun 2024,Menlyn,gauteng,BEAUTY,R718,1,CUST-01816,EFT
TXN-000250,09/04/2024,Canal Walk Mall,western cape,Sport,"R 1,224.15",2,CUST-00198,Cash
TXN-000251,2024-06-27,Menlyn,Gauteng,F&B,R 648.71,3,CUST-01415,EFT
TXN-000252,05/09/2024,eastgate,GP,beauty,R168.32,4,CUST-00784,Card
TXN-000253,07-07-2024,Gateway Mall Umhlanga,kwazulu natal,food & beverage,R362.53,1,CUST-01936,Card
TXN-000254,10-30-2024,VA Waterfront,western cape,Clothes,"R 2,420.59",1,CUST-00420,Cash
TXN-000255,08-28-2024,canal walk,Western cape,Food,R 515.19,1,CUST-00032,EFT
TXN-000256,2024-05-30,menlyn park,,Sport,-R165.30,4,CUST-01574,Card
TXN-000257,03-12-2024,Baywest Mall,EC,SPORTS,R1561.73,1,CUST-01510,Card
TXN-000258,04 Jun 2024,Menlyn,Gauteng Province,Electronics,R12854.33,1,CUST-00146,Cash
TXN-000259,31/07/2024,,GP,Clothing,R3013.44,1,CUST-00197,Mobile Money
TXN-000260,28 Jul 2024,canal walk,W. Cape,Home,671.38,1,,EFT
TXN-000261,19/09/2024,eastgate,Gauteng,CLOTHING,R574.25,2,CUST-01697,Cash
TXN-000262,01/07/2024,mall of the north,Limpopo,SPORTS,R1792.54,1,CUST-00627,Mobile Money
TXN-000263,26/04/2024,Bay West Mall,EC,F&B,R402.45,1,CUST-00177,Cash
TXN-000264,01/08/2024,Canal Walk,Western Cape,BEAUTY,R 945.05,3,,EFT
TXN-000265,2024-10-14,mall of the north,Limpopo Province,Home,"R 4,244.35",1,CUST-00673,EFT
TXN-000266,01-13-2024,Sandton City Mall,gauteng,beauty,R723.20,2,CUST-00182,Mobile Money
TXN-000267,2024-03-20,,Eastern Cape,Tech,R12068,1,CUST-00022,Mobile Money
TXN-000268,18 Oct 2024,,E. Cape,Home,330.95,1,CUST-00013,Card
TXN-000269,02-17-2024,Eastgate Mall,GP,Home and Living,R1228.24,2,CUST-00154,Cash
TXN-000270,2024-05-17,baywest mall,E. Cape,Home and Living,5273.65,3,,Cash
TXN-000271,18/11/2024,Bay West Mall,EC,SPORTS,508.92,2,CUST-00769,EFT
